fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
89,0.38,0.4,22,0.068,12,28,0.99486,327,0.75,126,7,Red
78,0.21,0.34,NA,0.039,55,140,0.9959,302,0.31,103,6,White
71,0.22,0.33,NA,0.033,48,153,0.9899,315,0.38,127,7,White
71,0.17,0.4,NA,0.047,47,156,0.99945,334,0.78,91,6,White
72,0.53,0.13,2,0.058,18,22,0.99573,321,0.68,99,6,Red
66,0.23,0.3,NA,0.051,33,118,0.99835,304,0.54,9,6,White
72,0.29,0.4,NA,0.024,56,177,0.9928,304,0.32,115,6,White
115,0.18,0.51,4,0.104,4,23,0.9996,328,0.97,101,6,Red
66,0.56,0.15,10,0.037,38,157,0.99642,328,0.52,94,5,White
67,0.34,0.43,NA,0.041,29,114,0.99014,323,0.44,126,6,White
64,0.15,0.36,NA,0.034,43,150,0.9922,342,0.69,11,8,White
75,0.28,0.78,NA,0.041,53,161,0.99838,298,0.44,87,5,White
124,0.4,0.51,2,0.059,6,24,0.9994,304,0.6,93,6,Red
52,0.645,0,215,0.08,15,28,0.99444,378,0.61,125,6,Red
47,0.145,0.29,1,0.042,35,90,0.9908,376,0.49,113,6,White
107,0.46,0.39,2,0.061,7,15,0.9981,318,0.62,95,5,Red
68,0.26,0.24,NA,0.052,54,214,0.9961,313,0.47,89,5,White
68,0.32,0.3,NA,0.029,15,80,0.99061,333,0.63,126,7,White
55,0.21,0.25,NA,0.04,18,75,0.99006,331,0.56,113,6,White
69,0.25,0.3,NA,0.054,23,116,0.994,299,0.38,94,6,White
78,0.6,0.14,24,0.086,3,15,0.9975,342,0.6,108,6,Red
10,0.43,0.33,27,0.095,28,89,0.9984,322,0.68,10,5,Red
64,0.57,0.02,18,0.067,4,11,0.997,346,0.68,95,5,Red
77,0.715,0.01,21,0.064,31,43,0.99371,341,0.57,118,6,Red
106,0.44,0.68,41,0.114,6,24,0.997,306,0.66,134,6,Red
74,0.16,0.33,NA,0.042,47,121,0.99198,304,0.68,105,7,White
63,0.38,0.17,NA,0.08,50,212,0.99803,347,0.66,94,4,White
68,0.19,0.4,NA,0.055,41,103,0.99532,298,0.56,105,6,White
84,0.57,0.44,NA,0.051,46,195,0.9981,315,0.51,104,5,White
9,0.245,0.38,NA,0.045,52,159,0.995,293,0.35,102,6,White
69,0.22,0.37,15,0.053,59,178,0.9992,337,0.82,95,7,White
62,0.255,0.24,NA,0.039,1385,272,0.99452,353,0.53,96,4,White
74,0.785,0.19,52,0.094,19,98,0.99713,316,0.52,96,6,Red
72,0.34,0.44,NA,0.047,51,144,0.991,301,0.76,123,6,White
8,0.19,0.3,2,0.053,48,140,0.994,318,0.49,96,6,White
78,0.18,0.46,NA,0.052,38,118,0.998,315,0.5,10,6,White
6,0.19,0.71,NA,0.152,9,55,0.9927,312,0.46,98,6,White
71,0.69,0.08,21,0.063,42,52,0.99608,342,0.6,102,6,Red
58,0.22,0.29,NA,0.034,34,89,0.98936,314,0.36,111,7,White
65,0.23,0.25,NA,0.046,15,110,0.99828,315,0.42,92,6,White
68,0.24,0.38,NA,0.045,50,185,0.99578,315,0.5,95,6,White
